1.813000,0.000000,0.000000,0.000000,0.000000,0.000000
1.813000,0.000000,0.000000,0.000000,0.000000,0.000000
1.813000,0.000000,0.000000,0.000000,0.000000,0.000000
1.814000,0.000000,0.000000,0.000000,0.000000,0.000000
1.814000,0.000000,0.000000,0.000000,0.000000,0.000000
1.816000,0.000000,0.000000,0.000000,0.000000,0.000000
1.816000,0.000000,0.000000,0.000000,0.000000,0.000000
1.819000,0.000000,0.000000,0.000000,0.000000,0.000000
1.820000,0.000000,0.000000,0.000000,0.000000,0.000000
1.822000,0.000000,0.000000,0.000000,0.000000,0.000000
1.824000,0.000000,0.000000,0.000000,0.000000,0.000000
1.826000,0.000000,0.000000,0.000000,0.000000,0.000000
1.827000,0.000000,0.000000,0.000000,0.000000,0.000000
1.829000,0.000000,0.000000,0.000000,0.000000,0.000000
1.830000,0.000000,0.000000,0.000000,0.000000,0.000000
1.832000,0.000000,0.000000,0.000000,0.000000,0.000000
1.832000,0.000000,0.000000,0.000000,0.000000,0.000000
1.833000,0.000000,0.000000,0.000000,0.000000,0.000000
1.833000,0.000000,0.000000,0.000000,0.000000,0.000000
1.834000,0.000000,0.000000,0.000000,0.000000,0.000000
